,,Without Promo Actions/Ads,,,,,,,With Promo Actions/Ads,,,,
#,Week,"Confirmed
Registration",Numbers Logged in,Logged In,,First Battle,"First
Upgrade","Tank
Purchase","Confirmed
Registration",Logged In,First Battle,"First
Upgrade","Tank
Purchase"
15,12 Apr-17 Apr,"91,366","76,866",84.13%,,91.76%,88.44%,88.10%,43 579,66.22%,92.19%,86.09%,87.26%
16,18 Apr-24 Apr,"39,346",,47.87%,,92.54%,73.28%,80.62%,25 878,27.95%,92.96%,73.74%,77.90%
17,25 Apr-01 May,"19,822",,66.62%,,94.38%,79.40%,81.22%,27 384,27.65%,92.55%,74.10%,77.38%
